regressor__subsample,regressor__n_estimators,regressor__min_child_weight,regressor__max_depth,regressor__learning_rate,regressor__gamma,mae_avg,mae_std,medae_avg,medae_std,mse_avg,mse_std,rmse_avg,rmse_std,r2_avg,r2_std
1.0,20,3,5,0.1,1,5.83229632811149,0.1353238269973625,4.326692819595337,0.11455572899808615,63.8643409443225,2.63968813324034,7.98977552336261,0.16681735700529807,0.15996299045634046,0.04177921886874011
1.0,20,3,20,0.3,1,5.848840922651128,0.14000355267619546,4.317214083671569,0.1374267327338478,63.994784958386525,2.4956995721541833,7.998127558775729,0.1572911692967257,0.1580653070511821,0.04378262819542577
1.0,50,1,5,0.01,1,6.088838926022091,0.14706869061508454,4.615656455357869,0.06926290454972191,70.39997140038523,3.998993314555724,8.386983389751633,0.24182849380386814,0.0752134919310839,0.03524571956461414
1.0,50,3,10,0.01,0,6.086504226497505,0.14792526488586819,4.611611906687418,0.07388025219417661,70.34567593080254,3.9685288720667304,8.383794245641274,0.2401457423207725,0.07586652906201463,0.03627625102890682
1.0,50,3,10,0.5,1,5.839168502692706,0.13834851915602575,4.301234285036722,0.12656432238184498,63.81146628806611,2.4983748892287543,7.986651331483362,0.1576920967618986,0.16051991044165298,0.042924274016899286
1.0,10,5,5,0.01,1,6.413453560157499,0.17185930041751837,4.824536657333374,0.10018333625081446,78.38665794184803,5.456875408879603,8.848092571224935,0.3129149930606336,-0.028643498781071725,0.03385399265229855
0.75,10,3,10,0.01,0,6.412802459461471,0.17190996534424086,4.8236035664876304,0.10371934594680098,78.36010273003636,5.438197169993156,8.8466258605734,0.31195129919636705,-0.028322567202345744,0.03423876789481716
0.75,10,5,10,0.1,5,5.908739312787175,0.1375680751935462,4.449383656183879,0.09957208023265285,65.92092245987918,3.11303602356371,8.116847990196076,0.19416787563632665,0.13333535108912192,0.03928447487347091
1.0,20,3,20,0.01,0,6.308184021120409,0.16352819534321114,4.769158299763998,0.08080586898175185,75.76153152273496,4.961694515053832,8.699294349088285,0.2894984467239636,0.005456711481974019,0.034626002670783466
0.75,50,3,20,0.1,1,5.849594732110229,0.13994686218121916,4.320957533518473,0.1299472674870371,63.99677894869245,2.4918489959935792,7.998257372291153,0.15702851741858234,0.15804054465504608,0.04371248009403273
